"Orthogroup" "PS_dup_1" "PS_dup_2" "N_dup_1" "N_dup_2" "DN" "C" "SB" "SP"
"355" "OG0001414" 0.689996329071696 1 0 0 0 0.0048051137994512 0.0048051137994512 0
"356" "OG0001415" 0 1 0 0 0 0 0 0
"357" "OG0001417" 0 1 0 0 0 0.0587813706661992 0.0587813706661992 0
"358" "OG0001418" 1 0 0 0 0 0 0 0
"359" "OG0001419" 0 0 0 0 0 0 0 1
"360" "OG0001423" 0 0.452638030613459 0 0 0 0.559802014145328 0.559802014145328 0
"361" "OG0001424" 0 0 0 0 0 1 0.919994268791914 0
"362" "OG0001425" 0 1 0 0 0 0 0 0
"363" "OG0001427" 0 1 0 0 0 0.531438712095297 0.531438712095297 0
"364" "OG0001428" 0 0 0 0 0 0.870928005071826 0.870928005071826 0
"365" "OG0001429" 1 0 0 0 0 0 0 0
"366" "OG0001433" 0 0 0 0 0 1 1 0
"367" "OG0001434" 0 0 0 0 0 1 1 0
"368" "OG0001435" 0 0 0 0 0 1 1 0
"369" "OG0001436" 0 1 0 0 0 0.032784106835116 0.032784106835116 0
"370" "OG0001437" 0 1 0 0 0 0.875666059702478 0.875666059702478 0
"371" "OG0001438" 0 0 0.319639521473229 0 0 0 0 0.629659951342419
"372" "OG0001439" 1 0 0 0 0 0 0 0
"373" "OG0001440" 0.513035900250124 0 0 0 0 0.317473409908109 0.317473409908109 0
"374" "OG0001442" 1 0 0 0 0 0 0 0
"375" "OG0001443" 0 0.474303822369316 0 0 0 0.105790925002539 0.105790925002539 0
"376" "OG0001445" 0 0 0 0 0 1 0.88415146982099 0
"377" "OG0001447" 0 1 0 0 0 0.722280242425418 0.722280242425418 0
"378" "OG0001449" 0 1 0 0 0 0.663054081708604 0.663054081708604 0
"379" "OG0001450" 0 1 0 0 0 0.357593336296007 0.357593336296007 0
"380" "OG0001451" 1 0 0 0 0 0 0 0
"381" "OG0001452" 0 1 0 0 0 0.152021545125635 0.152021545125635 0
"382" "OG0001453" 0 1 0 0 0 0.854822398042113 0.854822398042113 0
"383" "OG0001454" 0 0 0 0 0 1 1 0
"384" "OG0001455" 0 0 0 0 0 1 1 0
"385" "OG0001456" 0 0 1 0 0 0 0 0
"386" "OG0001457" 1 0 0 0 0 0 0 0
"387" "OG0001460" 1 0 0 0 0 0 0 0
"388" "OG0001462" 1 0 0 0 0 0 0 0
"389" "OG0001463" 0 0 0 0 0 1 1 0
"390" "OG0001464" 1 1 0 0 0 0 0 0
"391" "OG0001465" 0 1 0 0 0 0.409495608606354 0.409495608606354 0
"392" "OG0001467" 1 0 0 0 0 0 0 0
"393" "OG0001468" 0.936252853407201 0 0 0 0 0.0383624445211463 0.0383624445211463 0
"394" "OG0001469" 0 0.831625521140065 0.0017520572763301 0 0 0.441772076029341 0.424147286249198 0
"395" "OG0001471" 0 0 0 0 0 1 0.45318210763745 0
"396" "OG0001472" 0 0 0 0 0 1 1 0
"397" "OG0001474" 0 1 0 0 0 0.900071027120564 0.900071027120564 0
"398" "OG0001475" 0 0 0 0 0 0.503755965258493 0.503755965258493 0
"399" "OG0001476" 0 1 0 0 0 0.0612226536377561 0.0612226536377561 0
"400" "OG0001481" 0 1 0 0 0 0.0729211059182805 0.0729211059182805 0
"401" "OG0001484" 1 0 0 0 0 0 0 0
"402" "OG0001486" 0 0 1 0 0 0 0 0
"403" "OG0001491" 0 0 1 0 0 0 0 0
